2026-02-01 12:35:09 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:09 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 563
2026-02-01 12:35:09 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 78
2026-02-01 12:35:09 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:09 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 66
2026-02-01 12:35:09 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 66
2026-02-01 12:35:09 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 66
2026-02-01 12:35:09 | 192.168.0.113 -> 13.107.213.72 | TCP | Size: 55
2026-02-01 12:35:09 | 13.107.213.72 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:09 | 51.210.24.169 -> 192.168.0.113 | TCP | Size: 1506
2026-02-01 12:35:09 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 54
2026-02-01 12:35:09 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:09 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 648
2026-02-01 12:35:09 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 54
2026-02-01 12:35:09 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:09 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:09 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:09 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 116
2026-02-01 12:35:10 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 139
2026-02-01 12:35:10 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 107
2026-02-01 12:35:10 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:10 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:10 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:10 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 54
2026-02-01 12:35:10 | 104.18.39.21 -> 192.168.0.113 | TCP | Size: 78
2026-02-01 12:35:10 | 192.168.0.113 -> 104.18.39.21 | TCP | Size: 82
2026-02-01 12:35:10 | 104.18.39.21 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:11 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 223
2026-02-01 12:35:11 | 192.168.0.113 -> 192.34.234.30 | TCP | Size: 66
2026-02-01 12:35:11 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 72
2026-02-01 12:35:11 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 54
2026-02-01 12:35:11 | 192.168.0.113 -> 150.171.74.16 | TCP | Size: 55
2026-02-01 12:35:11 | 150.171.74.16 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:11 | 192.34.234.30 -> 192.168.0.113 | TCP | Size: 58
2026-02-01 12:35:11 | 192.168.0.113 -> 192.34.234.30 | TCP | Size: 54
2026-02-01 12:35:11 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 136
2026-02-01 12:35:11 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 136
2026-02-01 12:35:11 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 136
2026-02-01 12:35:11 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 68
2026-02-01 12:35:12 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 120
2026-02-01 12:35:12 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 69
2026-02-01 12:35:12 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 70
2026-02-01 12:35:12 | 192.168.0.113 -> 192.34.234.30 | TCP | Size: 72
2026-02-01 12:35:12 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 72
2026-02-01 12:35:12 | 192.168.0.104 -> 239.255.255.250 | UDP | Size: 164
2026-02-01 12:35:12 | 192.168.0.104 -> 239.255.255.250 | UDP | Size: 167
2026-02-01 12:35:12 | 192.34.234.30 -> 192.168.0.113 | TCP | Size: 1454
2026-02-01 12:35:12 | 192.34.234.30 -> 192.168.0.113 | TCP | Size: 1454
2026-02-01 12:35:12 | 192.34.234.30 -> 192.168.0.113 | TCP | Size: 563
2026-02-01 12:35:12 | 192.34.234.30 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:12 | 192.168.0.113 -> 192.34.234.30 | TCP | Size: 54
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 1481
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 131
2026-02-01 12:35:12 | 192.168.0.113 -> 192.34.234.30 | TCP | Size: 54
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 1481
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 640
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 151
2026-02-01 12:35:12 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 69
2026-02-01 12:35:12 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 66
2026-02-01 12:35:12 | 192.34.234.30 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 72
2026-02-01 12:35:12 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 67
2026-02-01 12:35:12 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 75
2026-02-01 12:35:12 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 66
2026-02-01 12:35:12 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 66
2026-02-01 12:35:12 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 73
2026-02-01 12:35:12 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 68
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 1292
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 1292
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 1292
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 1292
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 386
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 353
2026-02-01 12:35:12 | 104.18.32.47 -> 192.168.0.113 | UDP | Size: 66
2026-02-01 12:35:12 | 104.18.32.47 -> 192.168.0.113 | UDP | Size: 802
2026-02-01 12:35:12 | 192.168.0.113 -> 104.18.32.47 | UDP | Size: 87
2026-02-01 12:35:13 | 192.168.0.113 -> 192.168.0.1 | UDP | Size: 70
2026-02-01 12:35:13 | 192.168.0.113 -> 192.168.0.1 | UDP | Size: 70
2026-02-01 12:35:13 | 192.168.0.1 -> 192.168.0.113 | UDP | Size: 95
2026-02-01 12:35:13 | 192.168.0.1 -> 192.168.0.113 | UDP | Size: 86
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 1292
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 1292
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 122
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 82
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 1292
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 1292
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 326
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 976
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 67
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 1292
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 120
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 658
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 74
2026-02-01 12:35:13 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 69
2026-02-01 12:35:13 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 83
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 162
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 71
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 73
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 606
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 63
